name,type,start_time,duration,"data","error"
"Async Serial","data",42.286996956,0.000082464,0x79,
"Async Serial","data",42.287083504,0.000082464,0x01,
"Async Serial","data",42.287170064,0.000082464,0xE2,
"Async Serial","data",42.28725662,0.000082464,0x1B,
"Async Serial","data",42.287343136,0.000082464,0x5C,
"Async Serial","data",42.30062772,0.000082464,0xAA,
"Async Serial","data",42.300714272,0.000082464,0xAA,
"Async Serial","data",42.300800828,0.000082464,0x08,
"Async Serial","data",42.3008874,0.000082464,0x04,
"Async Serial","data",42.300973992,0.000082464,0x01,
"Async Serial","data",42.301060604,0.000082464,0x01,
"Async Serial","data",42.301147196,0.000082464,0x7F,
"Async Serial","data",42.30123378,0.000082464,0xE3,
"Async Serial [1]","data",42.444551536,0.000082464,0xAA,
"Async Serial [1]","data",42.444638284,0.000082464,0xAA,
"Async Serial [1]","data",42.444725036,0.000082464,0x09,
"Async Serial [1]","data",42.444811784,0.000082464,0x06,
"Async Serial [1]","data",42.444898536,0.000082464,0x01,
"Async Serial [1]","data",42.444985284,0.000082464,0xFF,
"Async Serial [1]","data",42.445072032,0.000082464,0xFF,
"Async Serial [1]","data",42.445158784,0.000082464,0x05,
"Async Serial [1]","data",42.445245532,0.000082464,0x7F,
"Async Serial","data",42.461866508,0.000082464,0xAA,
"Async Serial","data",42.461953048,0.000082464,0xAA,
"Async Serial","data",42.462039628,0.000082464,0x08,
"Async Serial","data",42.462126228,0.000082464,0x06,
"Async Serial","data",42.462212828,0.000082464,0x01,
"Async Serial","data",42.462299384,0.000082464,0x01,
"Async Serial","data",42.462385968,0.000082464,0x11,
"Async Serial","data",42.46247254,0.000082464,0x83,
"Async Serial [1]","data",42.464626908,0.000082464,0xAA,
"Async Serial [1]","data",42.464713656,0.000082464,0xAA,
"Async Serial [1]","data",42.464800404,0.000082464,0x13,
"Async Serial [1]","data",42.464887156,0.000082464,0x0D,
"Async Serial [1]","data",42.464973904,0.000082464,0x01,
"Async Serial [1]","data",42.465060652,0.000082464,0x00,
"Async Serial [1]","data",42.465147404,0.000082464,0x3C,
"Async Serial [1]","data",42.465234152,0.000082464,0x01,
"Async Serial [1]","data",42.4653209,0.000082464,0x90,
"Async Serial [1]","data",42.465407652,0.000082464,0x0F,
"Async Serial [1]","data",42.4654944,0.000082464,0x01,
"Async Serial [1]","data",42.465581148,0.000082464,0x22,
"Async Serial [1]","data",42.4656679,0.000082464,0x22,
"Async Serial [1]","data",42.465754648,0.000082464,0x01,
"Async Serial [1]","data",42.4658414,0.000082464,0xF4,
"Async Serial [1]","data",42.465928148,0.000082464,0x0F,
"Async Serial [1]","data",42.466014896,0.000082464,0x01,
"Async Serial [1]","data",42.466101648,0.000082464,0x62,
"Async Serial [1]","data",42.466188396,0.000082464,0xBA,
"Async Serial [1]","data",42.474554528,0.000082464,0xAA,
"Async Serial [1]","data",42.47464128,0.000082464,0xAA,
"Async Serial [1]","data",42.474728028,0.000082464,0x07,
"Async Serial [1]","data",42.474814776,0.000082464,0x01,
"Async Serial [1]","data",42.474901528,0.000082464,0x04,
"Async Serial [1]","data",42.474988276,0.000082464,0x09,
"Async Serial [1]","data",42.475075024,0.000082464,0x3E,
"Async Serial","data",42.482030416,0.000082464,0xAA,
"Async Serial","data",42.482116972,0.000082464,0xAA,
"Async Serial","data",42.482203604,0.000082464,0x08,
"Async Serial","data",42.482290208,0.000082464,0x0D,
"Async Serial","data",42.482376784,0.000082464,0x01,
"Async Serial","data",42.482463348,0.000082464,0x01,
"Async Serial","data",42.482549908,0.000082464,0xE1,
"Async Serial","data",42.482636404,0.000082464,0x72,
"Async Serial [1]","data",42.484606888,0.000082464,0xAA,
"Async Serial [1]","data",42.48469364,0.000082464,0xAA,
"Async Serial [1]","data",42.484780388,0.000082464,0x07,
"Async Serial [1]","data",42.484867136,0.000082464,0x01,
"Async Serial [1]","data",42.484953888,0.000082464,0x05,
"Async Serial [1]","data",42.485040636,0.000082464,0x19,
"Async Serial [1]","data",42.485127384,0.000082464,0x1F,
"Async Serial","data",42.502148428,0.000082464,0xAA,
"Async Serial","data",42.502234988,0.000082464,0xAA,
"Async Serial","data",42.502321548,0.000082464,0x08,
"Async Serial","data",42.502408092,0.000082464,0x01,
"Async Serial","data",42.502494648,0.000082464,0x04,
"Async Serial","data",42.50258116,0.000082464,0x01,
"Async Serial","data",42.502667716,0.000082464,0x6B,
"Async Serial","data",42.502754284,0.000082464,0xE6,
"Async Serial","data",42.507544876,0.000082464,0xAA,
"Async Serial","data",42.507631396,0.000082464,0xAA,
"Async Serial","data",42.507717948,0.000082464,0x12,
"Async Serial","data",42.507804504,0.000082464,0x02,
"Async Serial","data",42.50789106,0.000082464,0x04,
"Async Serial","data",42.507977624,0.000082464,0x00,
"Async Serial","data",42.508064216,0.000082464,0x00,
"Async Serial","data",42.508150796,0.000082464,0x01,
"Async Serial","data",42.50823736,0.000082464,0x00,
"Async Serial","data",42.508323896,0.000082464,0x02,
"Async Serial","data",42.508410476,0.000082464,0x00,
"Async Serial","data",42.50849704,0.000082464,0x00,
"Async Serial","data",42.508583596,0.000082464,0x07,
"Async Serial","data",42.508670204,0.000082464,0x7B,
"Async Serial","data",42.508756796,0.000082464,0x01,
"Async Serial","data",42.50884334,0.000082464,0xE2,
"Async Serial","data",42.508929888,0.000082464,0x7D,
"Async Serial","data",42.509016424,0.000082464,0x77,
"Async Serial","data",42.522296632,0.000082464,0xAA,
"Async Serial","data",42.522383208,0.000082464,0xAA,
"Async Serial","data",42.522469748,0.000082464,0x08,
"Async Serial","data",42.522556284,0.000082464,0x01,
"Async Serial","data",42.522642836,0.000082464,0x05,
"Async Serial","data",42.522729384,0.000082464,0x01,
"Async Serial","data",42.522815888,0.000082464,0x58,
"Async Serial","data",42.522902404,0.000082464,0xD7,
"Async Serial","data",42.52769322,0.000082464,0xAA,
"Async Serial","data",42.527779776,0.000082464,0xAA,
"Async Serial","data",42.527866312,0.000082464,0x12,
"Async Serial","data",42.527952852,0.000082464,0x02,
"Async Serial","data",42.528039396,0.000082464,0x05,
"Async Serial","data",42.528125928,0.000082464,0x00,
"Async Serial","data",42.528212464,0.000082464,0x00,
"Async Serial","data",42.528299016,0.000082464,0x01,
"Async Serial","data",42.528385524,0.000082464,0x00,
"Async Serial","data",42.528472048,0.000082464,0x02,
"Async Serial","data",42.528558552,0.000082464,0x00,
"Async Serial","data",42.52864508,0.000082464,0x00,
"Async Serial","data",42.528731572,0.000082464,0x07,
"Async Serial","data",42.528818124,0.000082464,0x7B,
"Async Serial","data",42.528904672,0.000082464,0x01,
"Async Serial","data",42.528991216,0.000082464,0xE2,
"Async Serial","data",42.52907774,0.000082464,0x7E,
"Async Serial","data",42.529164268,0.000082464,0x02,
"Async Serial [1]","data",42.634639904,0.000082464,0xAA,
"Async Serial [1]","data",42.634726652,0.000082464,0xAA,
"Async Serial [1]","data",42.634813404,0.000082464,0x13,
"Async Serial [1]","data",42.634900152,0.000082464,0x0D,
"Async Serial [1]","data",42.6349869,0.000082464,0x02,
"Async Serial [1]","data",42.635073652,0.000082464,0x00,
"Async Serial [1]","data",42.6351604,0.000082464,0x3C,
"Async Serial [1]","data",42.635247152,0.000082464,0x01,
"Async Serial [1]","data",42.6353339,0.000082464,0x90,
"Async Serial [1]","data",42.635420648,0.000082464,0x0F,
"Async Serial [1]","data",42.6355074,0.000082464,0x01,
"Async Serial [1]","data",42.635594148,0.000082464,0x22,
"Async Serial [1]","data",42.635680896,0.000082464,0x22,
"Async Serial [1]","data",42.635767648,0.000082464,0x01,
"Async Serial [1]","data",42.635854396,0.000082464,0xF4,
"Async Serial [1]","data",42.635941144,0.000082464,0x0F,
"Async Serial [1]","data",42.636027896,0.000082464,0x01,
"Async Serial [1]","data",42.636114644,0.000082464,0xAD,
"Async Serial [1]","data",42.636201396,0.000082464,0x1F,
"Async Serial","data",42.643204752,0.000082464,0xAA,
"Async Serial","data",42.643291276,0.000082464,0xAA,
"Async Serial","data",42.643377808,0.000082464,0x08,
"Async Serial","data",42.64346438,0.000082464,0x0D,
"Async Serial","data",42.643550932,0.000082464,0x02,
"Async Serial","data",42.643637476,0.000082464,0x01,
"Async Serial","data",42.643724004,0.000082464,0xB4,
"Async Serial","data",42.64381054,0.000082464,0x21,
"Async Serial [1]","data",42.644613052,0.000082464,0xAA,
"Async Serial [1]","data",42.6446998,0.000082464,0xAA,
"Async Serial [1]","data",42.644786552,0.000082464,0x07,
"Async Serial [1]","data",42.6448733,0.000082464,0x01,
"Async Serial [1]","data",42.644960048,0.000082464,0x06,
"Async Serial [1]","data",42.6450468,0.000082464,0x29,
"Async Serial [1]","data",42.645133548,0.000082464,0x7C,
"Async Serial [1]","data",42.654552764,0.000082464,0xAA,
"Async Serial [1]","data",42.654639512,0.000082464,0xAA,
"Async Serial [1]","data",42.65472626,0.000082464,0x07,
"Async Serial [1]","data",42.654813012,0.000082464,0x01,
"Async Serial [1]","data",42.65489976,0.000082464,0x07,
"Async Serial [1]","data",42.654986508,0.000082464,0x39,
"Async Serial [1]","data",42.65507326,0.000082464,0x5D,
"Async Serial","data",42.663346988,0.000082464,0xAA,
"Async Serial","data",42.663433512,0.000082464,0xAA,
"Async Serial","data",42.663520024,0.000082464,0x08,
"Async Serial","data",42.66360658,0.000082464,0x01,
"Async Serial","data",42.663693188,0.000082464,0x06,
"Async Serial","data",42.663779788,0.000082464,0x01,
"Async Serial","data",42.663866336,0.000082464,0x0D,
"Async Serial","data",42.663952908,0.000082464,0x84,
"Async Serial","data",42.668726016,0.000082464,0xAA,
"Async Serial","data",42.668812516,0.000082464,0xAA,
"Async Serial","data",42.668899064,0.000082464,0x12,
"Async Serial","data",42.668985596,0.000082464,0x02,
"Async Serial","data",42.669072116,0.000082464,0x06,
"Async Serial","data",42.669158616,0.000082464,0x00,
"Async Serial","data",42.66924514,0.000082464,0x00,
"Async Serial","data",42.66933164,0.000082464,0x01,
"Async Serial","data",42.669418144,0.000082464,0x00,
"Async Serial","data",42.669504656,0.000082464,0x02,
"Async Serial","data",42.669591192,0.000082464,0x00,
"Async Serial","data",42.66967772,0.000082464,0x00,
"Async Serial","data",42.669764208,0.000082464,0x07,
"Async Serial","data",42.669850724,0.000082464,0x7B,
"Async Serial","data",42.669937228,0.000082464,0x01,
"Async Serial","data",42.670023744,0.000082464,0xE2,
"Async Serial","data",42.670110272,0.000082464,0x7B,
"Async Serial","data",42.670196796,0.000082464,0x9D,
"Async Serial","data",42.683486064,0.000082464,0xAA,
"Async Serial","data",42.683572656,0.000082464,0xAA,
"Async Serial","data",42.683659188,0.000082464,0x08,
"Async Serial","data",42.683745748,0.000082464,0x01,
"Async Serial","data",42.6838323,0.000082464,0x07,
"Async Serial","data",42.683918876,0.000082464,0x01,
"Async Serial","data",42.684005424,0.000082464,0x3E,
"Async Serial","data",42.68409198,0.000082464,0xB5,
"Async Serial","data",42.68888368,0.000082464,0xAA,
"Async Serial","data",42.68897016,0.000082464,0xAA,
"Async Serial","data",42.689056632,0.000082464,0x12,
"Async Serial","data",42.689143124,0.000082464,0x02,
"Async Serial","data",42.6892296,0.000082464,0x07,
"Async Serial","data",42.689316108,0.000082464,0x00,
"Async Serial","data",42.689402624,0.000082464,0x00,
"Async Serial","data",42.689489176,0.000082464,0x01,
"Async Serial","data",42.689575736,0.000082464,0x00,
"Async Serial","data",42.689662284,0.000082464,0x02,
"Async Serial","data",42.689748812,0.000082464,0x00,
"Async Serial","data",42.689835372,0.000082464,0x00,
"Async Serial","data",42.689921916,0.000082464,0x07,
"Async Serial","data",42.69000848,0.000082464,0x7B,
"Async Serial","data",42.690095036,0.000082464,0x01,
"Async Serial","data",42.690181568,0.000082464,0xE2,
"Async Serial","data",42.690268132,0.000082464,0x78,
"Async Serial","data",42.69035468,0.000082464,0xE8,
"Async Serial [1]","data",42.794573808,0.000082464,0xAA,
"Async Serial [1]","data",42.794660556,0.000082464,0xAA,
"Async Serial [1]","data",42.794747304,0.000082464,0x07,
"Async Serial [1]","data",42.794834056,0.000082464,0x01,
"Async Serial [1]","data",42.794920804,0.000082464,0x08,
"Async Serial [1]","data",42.795007552,0.000082464,0xC8,
"Async Serial [1]","data",42.795094304,0.000082464,0xB2,
"Async Serial","data",42.804340684,0.000082464,0xAA,
"Async Serial","data",42.804427096,0.000082464,0xAA,
"Async Serial","data",42.804513604,0.000082464,0x08,
"Async Serial","data",42.804600136,0.000082464,0x01,
"Async Serial","data",42.804686648,0.000082464,0x08,
"Async Serial","data",42.804773128,0.000082464,0x01,
"Async Serial","data",42.804859624,0.000082464,0x2E,
"Async Serial","data",42.804946136,0.000082464,0x8B,
"Async Serial","data",42.809732992,0.000082464,0xAA,
"Async Serial","data",42.809819452,0.000082464,0xAA,
"Async Serial","data",42.809905884,0.000082464,0x12,
"Async Serial","data",42.809992344,0.000082464,0x02,
"Async Serial","data",42.810078756,0.000082464,0x08,
"Async Serial","data",42.810165168,0.000082464,0x00,
"Async Serial","data",42.810251592,0.000082464,0x00,
"Async Serial","data",42.810338004,0.000082464,0x01,
"Async Serial","data",42.81042446,0.000082464,0x00,
"Async Serial","data",42.81051092,0.000082464,0x01,
"Async Serial","data",42.810597368,0.000082464,0x00,
"Async Serial","data",42.810683852,0.000082464,0x00,
"Async Serial","data",42.810770324,0.000082464,0x07,
"Async Serial","data",42.810856804,0.000082464,0x7B,
"Async Serial","data",42.8109433,0.000082464,0x01,
"Async Serial","data",42.811029812,0.000082464,0xE2,
"Async Serial","data",42.811116304,0.000082464,0xB3,
"Async Serial","data",42.8112028,0.000082464,0x89,
"Async Serial [1]","data",43.01461176,0.000082464,0xAA,
"Async Serial [1]","data",43.014698508,0.000082464,0xAA,
"Async Serial [1]","data",43.01478526,0.000082464,0x07,
